UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
b86e88e7-0d5f-4b32-a35f-dc97251ab990,0.0,0.0,0.0,0.0,0.0,29.87908623,0.0,0.0,7.120913766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a315b798-f037-48d5-91ed-e733e3bbd6ee,33.08818677,0.0,0.0,0.0,0.0,48.09451081,0.0,4.260869829,11.46209296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0e6ca8dc-0f31-4675-95b1-5920576daeff,30.12119857,0.0,0.0,0.0,0.0,4.845257227,0.0,3.8788014310000003,1.154742773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8294a969-59a1-4d3b-895b-f07e96bf9f7a,0.0,0.0,0.0,0.0,0.0,26.64891475,0.0,0.0,6.351085251000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c76f7fcc-2748-4b6d-805e-d21652dd5e3a,39.26065117,0.0,0.0,0.0,0.0,104.14526070000001,0.0,5.0557174730000005,24.82035142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.7180193,0.0,0.0,0.0,0.0
a8041e86-071e-46cd-8fb5-7ecdc1ab0553,0.0,0.0,0.0,0.0,0.0,68.31130259999999,0.0,0.0,16.2802467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38732394,0.0,0.0,0.0,0.0
dd67dec6-35dd-4efe-b913-ed4884855365,27.14410336,0.0,0.0,0.0,0.0,8.779681216,0.0,3.495431522,2.092411808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.48837209,0.0,0.0,0.0,0.0
3e604a1c-b95f-44ff-9723-e2fac845da3b,23.47681653,0.0,0.0,0.0,0.0,81.15805855,0.0,3.023183468,19.34194145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81598359-24d5-4a8b-a6e6-7a6f94289119,13.28876407,0.0,0.0,0.0,0.0,15.34331455,0.0,1.711235925,3.656685448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
6bbd66dd-efee-4d6e-b02f-f88e98526b82,13.04715018,0.0,0.0,0.0,0.0,0.0,0.0,1.680122545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.30909091,0.0,0.0,0.0,0.0
ef673d3d-2031-4036-ba25-4bc7ef04075b,44.29588025,0.0,0.0,0.0,0.0,0.0,0.0,5.704119751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9988eb07-01f6-4f83-8699-bb63e0525f08,188.4447824,0.0,0.0,0.0,0.0,0.0,0.0,24.26662703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.24496644,0.0,0.0,0.0,0.0
83eca7b5-45bb-44c0-8afe-36f8988d0078,43.40996264,0.0,0.0,0.0,0.0,22.61120039,0.0,5.590037356,5.388799607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e2b5c926-491d-430d-8d9c-5c73d7752d1b,42.21589978,0.0,0.0,0.0,0.0,16.03382222,0.0,5.436274127999999,3.821250239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.49275362,0.0,0.0,0.0,0.0
dfa20d2d-1ba3-476a-b4b9-21d21470bee2,25.69161054,0.0,0.0,0.0,0.0,62.98834395,0.0,3.3083894560000005,15.01165605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c0812962-a345-48b7-aec0-01336c2d1eed,24.80569294,0.0,0.0,0.0,0.0,0.0,0.0,3.1943070610000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54e78de0-d357-4125-a904-ab35e461572b,57.02271944,0.0,0.0,0.0,0.0,73.90632357,0.0,7.342994843,17.61367643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.11428571,0.0,0.0,0.0,0.0
46d35b82-e1b7-4d35-be5e-3a70fd47e421,24.80569294,0.0,0.0,0.0,0.0,12.92068594,0.0,3.1943070610000004,3.0793140610000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02c6a893-49c5-49d1-8eb1-195021e70d52,12.563922400000001,0.0,0.0,0.0,0.0,0.0,0.0,1.6178957840000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2987013,0.0,0.0,0.0,0.0
1aff91a6-1b0f-4575-8f4b-4e064a50b886,86.97563202,0.0,0.0,0.0,0.0,49.85720745,0.0,11.20012556,11.88218649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727e88b-df0a-4af2-9191-8c6061d98ad0,15.06059928,0.0,0.0,0.0,0.0,18.57348604,0.0,1.939400715,4.4265139630000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2124bb2-30e1-4093-9a8a-3a188a6dc0a9,72.48272628,0.0,0.0,0.0,0.0,0.0,0.0,9.333828525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.7091723,0.0,0.0,0.0,0.0
08227616-02a5-46e8-9db1-f2d1d691ab23,48.16498979,0.0,0.0,0.0,0.0,69.92112697,0.0,6.20235715,16.66390705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1fff8b62-534b-4d71-a65f-e5f93b8b50ed,31.7277849,0.0,0.0,0.0,0.0,33.33938652,0.0,4.085686603,7.945587578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9015544,0.0,0.0,0.0,0.0
ee963667-56b1-49bd-8896-e07b536d3014,24.80569294,0.0,0.0,0.0,0.0,11.305600199999999,0.0,3.1943070610000004,2.6943998039999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
7e584ff6-0b81-4f85-81da-b8117afee326,0.0,0.0,0.0,0.0,0.0,43.60731504,0.0,0.0,10.39268496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0
a0fe80e0-e3ac-485b-8a1a-4c80c101b874,30.12119857,0.0,0.0,0.0,0.0,81.56182999,0.0,3.8788014310000003,19.43817001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
e52ffa79-557a-4024-81f3-f3826c227ec5,84.16217247,0.0,0.0,0.0,0.0,97.71268741,0.0,10.83782753,23.28731259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0
878a7fe7-20ff-4651-9587-b4d6fd42e929,33.66486899,0.0,0.0,0.0,0.0,27.45645762,0.0,4.3351310110000005,6.54354238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c121de15-78f7-4698-91bf-fd0485c466c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190eb791-383d-4e27-870d-e470630843e7,38.06224183,0.0,0.0,0.0,0.0,31.83774476,0.0,4.901394535,7.587709783999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.61090909,0.0,0.0,0.0,0.0
d3709eea-ca2a-49ac-b79c-871a5473d450,0.0,0.0,0.0,0.0,0.0,23.41874326,0.0,0.0,5.581256736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab923db7-54e8-4a50-b7fd-c2b4b300041e,15.17734812,0.0,0.0,0.0,0.0,12.61394485,0.0,1.954434829,3.006210191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24806202,0.0,0.0,0.0,0.0
feccc27e-5c2e-4339-8746-0945fee93c1e,0.0,0.0,0.0,0.0,0.0,14.75601065,0.0,0.0,3.516716627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.59090909,0.0,0.0,0.0,0.0
1db83e80-bdf7-4d8d-8008-bd8406d641fc,21.44069498,0.0,0.0,0.0,0.0,21.98688153,0.0,2.760985695,5.240009222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
de8ef60b-4dbe-4aa8-adef-6f58cdfada29,93.90726613,0.0,0.0,0.0,0.0,22.61120039,0.0,12.09273387,5.388799607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
21205681-a0c7-48d0-81d4-0b7ef31158cf,29.03503931,0.0,0.0,0.0,0.0,62.55691694,0.0,3.7389332889999998,14.90883649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.76027397,0.0,0.0,0.0,0.0
5046f1b4-9d95-4841-ba30-691fa44719a2,41.63812743,0.0,0.0,0.0,0.0,73.48640128,0.0,5.361872566000001,17.51359872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5193a482-6ed9-4504-bd7c-c8b9e4103577,21.26202252,0.0,0.0,0.0,0.0,85.59954434,0.0,2.737977481,20.40045566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4b80307-abbd-48bb-b52c-6dcd409699a2,16.32619586,0.0,0.0,0.0,0.0,0.0,0.0,2.102375565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0
7158c9fd-a633-4fef-aa23-bd285f2a87a8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29fc38aa-f367-46a3-a14d-a5f657ad0caa,23.91977533,0.0,0.0,0.0,0.0,5.652800097999999,0.0,3.0802246660000003,1.3471999019999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b537bc07-9998-49f4-bbbe-5b617152bfd9,9.745093655,0.0,0.0,0.0,0.0,20.18857178,0.0,1.254906345,4.811428221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fb8b5ff5-4164-4276-b75b-b0ee6bda7329,0.0,0.0,0.0,0.0,0.0,74.29394415,0.0,0.0,17.70605585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1fdab6a6-7346-4229-aa8d-5dbd258f0c60,0.0,0.0,0.0,0.0,0.0,56.35364514,0.0,0.0,13.43044577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71022727,0.0,0.0,0.0,0.0
34d7b6cc-cfcf-4178-b075-f4d129ab18f7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
469eddf2-6e02-46bf-820f-6296a2b776e2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7,17.09139503,0.0,0.0,0.0,0.0,0.0,0.0,2.200912667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.66153846,0.0,0.0,0.0,0.0
9650640f-154d-4696-aa96-3611c6fcee7b,0.0,0.0,0.0,0.0,0.0,51.68274376,0.0,0.0,12.31725624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcc819eb-f4d8-4ddc-9fdc-a6307fb6741b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f35f7712-d5c6-47f6-98ed-704edbbc1e19,14.17468168,0.0,0.0,0.0,0.0,15.34331455,0.0,1.82531832,3.656685448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e2e6a409-b64d-463c-ac3b-e7987a3124f0,0.0,0.0,0.0,0.0,0.0,16.95840029,0.0,0.0,4.041599705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9fb6b7be-0084-48f7-a256-6d170e72e97f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7625877a-7a2b-466f-944b-9e56689ad47b,16.83243449,0.0,0.0,0.0,0.0,21.80365752,0.0,2.167565505,5.196342478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
